chunk_id,source_document,chunk_index,text,word_count
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_10,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,10,"Zero tolerance to sexual harassment means that all allegations should be investigated to assess the merits of all the circumstantial evidence. (In an y investigation of a sexual harassment complaint, the respondent must be made aware of the complaint and of the identity of the complainant(. (In vestigations must be conducted promptly and thoroughly. (Bo th the complainant and the respondent must be notified of the outcome of the investigations. (If there is sufficient evidence to sustain a charge of sexual harassment, the matter shall be referred to the appropriate internal disciplinary organs for further management. If the investigation reveals misconduct that falls outside the purview of the internal disciplinary organs, the same shall be referred to the appropriate external entity. Strategies The University shall achieve the objectives of this policy through the following strategies: (A dopting and effectively implementing this Policy as prescribed by law.",146
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_11,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,11,Strategies The University shall achieve the objectives of this policy through the following strategies: (A dopting and effectively implementing this Policy as prescribed by law. 6(C onducting regular sensitization and educational programmes for all members of the University Community. (Es tablishing an effective mentoring programme for staff and students. (Pr oviding effective guidance and counseling services for both victims and perpetrators of sexual harassment. (Equipping member s of the University community with skills and knowledge to resist and defend themselves against sexual harassment. (Int egrating advocacy against sexual harassment into the curriculum of the compulsory course unit on ethics for all students. (Es tablishing a gender-responsive monitoring and evaluation framework for the prevention of sexual harassment. (Pr omoting action-based research that highlights the root causes and complexities of sexual harassment and developing a culture that is responsive to diversities.,139
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_12,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,12,(Pr omoting action-based research that highlights the root causes and complexities of sexual harassment and developing a culture that is responsive to diversities. (Es tablishing telephone hotlines and other forms of communication for reporting sexual harassment complaints. (Maintaining archival files for investigated cases ofsexual harassment and assaults. Sexual Harassment and Academic Freedom This policy is intended to combat sexual harassment and abuse and shall not limit academic freedom or the principles of free inquiry and expression.,76
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_13,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,13,"Sexual Harassment and Academic Freedom This policy is intended to combat sexual harassment and abuse and shall not limit academic freedom or the principles of free inquiry and expression. Implementation organs (The Offic e of the Vice Chancellor (The G ender Mainstreaming Directorate (The Dir ectorate of Legal Affairs (The Univ ersity Guidance  Counseling Centre 7(The Vice Chancellors Roster of 100 University Anti - Sexual harassment Committee Members (The Dir ectorate of Human Resources (The Univ ersity Hospital (A cademic and Administrative Units (Other duty bear ers of the University: Principals, Deans, Heads o f Departments, Programme Coordinators, Examina tion Coordinators, Wardens, Student leaders and contractors (Security Agencies 9 Coordination of implementation The Gender Mainstreaming Directorate is mandated to coordinate all the implementation organs. The Directorate of Legal Affairs shall provide legal support.",133
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_14,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,14,"The Directorate of Legal Affairs shall provide legal support. 8SECTION TWO: PROCEDURAL MATTERS Application Sexual harassment is prohibited for both on-campus and off-campus University settings against, between or among: (Students; (A cademic Staff; (A dministrative Staff; (Suppor t Staff; (Contractors (Partners (Visit ors (Researchers Examples of Sexual Harassment and Abuse Examples of sexual harassment include, but are not limited to: (Inappr opriate physical contact of any body parts such as patting, scratching, pinching, stroking or brushing up against the body; (Un wanted and persistent explicit or implicit propositions to engage in sexual activity; (Int entional disrobing or exposure of sexual body parts or underwear; (Un wanted demands for sexual relations in exchange for employment or academic or other favours; (Se xual stares such as leering and ogling with suggestive overtones; (Lus tful gestures, such as hand or sign language to denote sexual activity; (Stal king through following or spying on a person.",152
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_15,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,15,"8SECTION TWO: PROCEDURAL MATTERS Application Sexual harassment is prohibited for both on-campus and off-campus University settings against, between or among: (Students; (A cademic Staff; (A dministrative Staff; (Suppor t Staff; (Contractors (Partners (Visit ors (Researchers Examples of Sexual Harassment and Abuse Examples of sexual harassment include, but are not limited to: (Inappr opriate physical contact of any body parts such as patting, scratching, pinching, stroking or brushing up against the body; (Un wanted and persistent explicit or implicit propositions to engage in sexual activity; (Int entional disrobing or exposure of sexual body parts or underwear; (Un wanted demands for sexual relations in exchange for employment or academic or other favours; (Se xual stares such as leering and ogling with suggestive overtones; (Lus tful gestures, such as hand or sign language to denote sexual activity; (Stal king through following or spying on a person. (Se xual assault and rape.",148
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_16,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,16,"(Se xual assault and rape. 9(ICT- or Cyber-based sexual harassment such as trolling through tweets, text messages and sharing unwanted private messages and photos on social media platforms . Prohibition of Retaliation (A per son against whom a complaint of Sexual Harassment has been made shall not retaliate against or victimize a person who has complained against him/her. (A per son who retaliates or victimizes a complainant of sexual harassment commits a disciplinary offence and shall be subjected to disciplinary action. Support to Survivors of Sexual Harassment (The Univ ersity will provide survivors of sexual harassment with psycho- social support at the Counseling Unit and primary health care at the University Hospital. (In special cir cumstances where the complainant is unable to face the respondent, alternative modes of presenting evidence must be availed by the investigative committee.",137
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_17,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,17,"(In special cir cumstances where the complainant is unable to face the respondent, alternative modes of presenting evidence must be availed by the investigative committee. Responsibility for Reporting Sexual Harassment (An y member of the policy implementing organs who receives information about any act of sexual harassment has an obligation to report it through the established channels as prescribed in this Policy. (Victims of Sexual Harassment shall be encouraged, but not compelled, to report Sexual Harassment. The exception shall be in a situation where non-reporting may result in serious harm to the victim or others. Frivolous or False Accusations A person who makes a frivolous, malicious and vexatious or false accusation of sexual harassment against another person commits a disciplinary offence and shall be subjected to disciplinary action.",128
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_18,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,18,"Frivolous or False Accusations A person who makes a frivolous, malicious and vexatious or false accusation of sexual harassment against another person commits a disciplinary offence and shall be subjected to disciplinary action. Presumption of innocence A person against whom allegations or a complaint of sexual harassment has been made shall be deemed innocent until the contrary is proved. Burden and standard of proof The burden of proof shall be on the complainant. The standard of proof that sexual harassment has been committed shall be on a balance of probabilities, e. proof on clear and convincing evidence. Confidentiality (When a c omplaint has been lodged, it shall be treated with utmost confidentiality. (Wher e it is necessary to interview a witness, the investigating Committee shall maintain strict confidentiality.",128
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_19,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,19,"(Wher e it is necessary to interview a witness, the investigating Committee shall maintain strict confidentiality. (Any person handling a complaint of sexual harassment and any party to the complaint shall treat it with confidentiality except where disclosure is necessary to prevent imminent harm. Failure to act on a complaint Any person in authority who receives a complaint of sexual harassment and fails to take any pro-active steps to progress the matter in a timely and appropriate manner commits an offence and shall be subject to disciplinary action. Forms of Complaints There are two options that a victim of sexual harassment may use to lodge a complaint. 1 Informal complaint (An inf ormal complaint is made to any member of the implementing bodies, including academic staff, administrative staff or students leader.",131
